Caption,Likes,MediaCount,Date,Is Video,URL
"Bora falar mais um pouquinho sobre making of? E nada melhor do que um making lindo desses pra representar o que eu sempre digo a voces: tenham tempo pra vocês, pra aproveitar o dia do casamento, relaxem e saboreiem, experimentem cada pedacinho desse dia porque ele é ÚNICO! E as memórias pode deixar que a cada segundo tô eternizando junto com vocês ✨️🫰🏽
Making lindo da noiva perfeita @cybeleratacasso (mais uma vez, obrigada pela confiança e pelo acolhimento)
Make @ihalemakeup 
Cerimonial @layanedias.assessoria 
Vídeo @if.films
Espaço @quintadasaguaseventos 
Vestido @jardimatelier 
Decoração @leticiamonteirodecoracoes 
Iluminação @mancoscordeiroiluminacao",3,8,2024-01-31 17:44:47,False,https://www.instagram.com/p/C2xgL8fO1Eg
"O momento mágico das pétalas de rosas no casamento, meu momento preferidooo... Observem, é como se o próprio amor estivesse dançando no ar, não é mesmo?
Cada pétala é como um pequeno voto de felicidade, um fragmento do amor que todos sentem por esse novo capítulo na vida dos noivos. Um verdadeiro testemunho da conexão e carinhol. E cada registro é uma lembrança eternizada desse amor em flor 🤍
Do casamento lindo de Virginia e Neto ✨️

Local @sitiodosapoti
Cerimonial @kkcerimonial 
Decoração @leonardovieiradecor 
Vestido @vertsophistique @vertnoivas",3,4,2023-10-09 22:58:05,False,https://www.instagram.com/p/CyMhaz5MvBE
"Karol e Ezequiel ❤️‍🔥
Um ensaio que se eternizou como um poema visual, registros que se tornaram testemunhas silenciosas de um amor lindo e cada troca de olhar é uma promessa de eternidade.",3,8,2023-10-05 22:00:44,False,https://www.instagram.com/p/CyCHrUMOcux
"Acredito que o amor mora nos pequenos gestos, em perceber o outro nos detalhes e saber o que é importante pro outro.
Mesmo de longe quando se preparava pro seu grande dia, Luana deu seu jeitinho de se fazer presente durante a espera pra cerimônia e emocionar a todos com um presente especial pra Tito.
No dia do casamento, ela sabia que ele sentiria falta de alguém muito especial. Queria, de alguma forma, trazer a presença dessa pessoa para aquele momento. E foi então que, em segredo, preparou um presente singelo, mas cheio de significado.
Luana é daquelas pessoas que sempre percebe os detalhes, as pequenas coisas que ninguém mais nota. Esse broche não era apenas um presente; era uma demonstração de amor, de cuidado. Ela estava trazendo a memória de quem ele amava para perto, naquele dia que seria eterno.
Acredito que Tito soube que, mesmo sem poder vê-lo, seu pai estava ali, no peito, no coração. E mais do que isso, soube que a mulher que ele estava prestes a se casar era aquela que conhecia suas sombras e luzes, aquela que se importava profundamente com cada pedaço da sua história. Ela tinha o dom de perceber o outro em sua totalidade, e ele, o dom de ser amado por alguém tão especial.",3,7,2024-08-27 21:14:29,False,https://www.instagram.com/p/C_MCUrUyW9c
"Vinicius me fez um pedido: que no dia do casamento eu recriasse a foto dos seus avós no dia do casamento deles, décadas atrás.
Um legado de amor que transcende o tempo!
Vejam a importância disso: muito mais do que um registro, a fotografia serve como uma ponte entre gerações. Ela preserva momentos tão significativos, nos permite revisitar emoções e memórias que moldam nossas vidas. Essas imagens são um pedaço da história da família dele, que sempre vai estar ao alcance dos olhos e do coração. São esses pequenos momentos que nos acalantam e nos preenchem, e mantém vivos os laços que nos conectam a quem amamos 🤍",3,3,2024-08-26 17:33:50,False,https://www.instagram.com/p/C_JERvfvatr
"Almas entrelaçadas, constelações de um amor imortal 🤍",3,1,2024-07-05 21:10:03,True,https://www.instagram.com/p/C9DjjeGye8n
"Os pequenos encantos!
Nos detalhes o amor também se revela ✨️",3,7,2024-07-04 12:04:01,False,https://www.instagram.com/p/C9AAZoIO6GH
"A vida acontece em pequenos instantes e a fotografia é o refúgio onde mora nossas memórias mais importantes. Não importa quanto tempo passe, através dela você sempre vai conseguir reviver esses momentos mágicos e tão únicos da vida.
Sobre o dia mais importante de Vic e Rob ✨️",52,1,2024-07-02 19:58:09,True,https://www.instagram.com/p/C87seE0S2qQ
"Fragmentos eternos do dia mais importante de Rhai e Denilson ✨️🤍

@samarasiqueira_eventos 
@kamilaramoseventos 
@raquel.makeuphair
@silvialeocadia_atelie",3,6,2024-07-01 17:37:02,False,https://www.instagram.com/p/C844IIlO834
"Dois corações, uma história pra toda vida ✨️",3,1,2024-06-28 22:13:21,True,https://www.instagram.com/p/C8xpAYESlUH
#tbt de hoje direto pra um dia inesquecível 🥹,3,1,2024-06-27 19:43:54,True,https://www.instagram.com/p/C8uyxPlycih
"O buquê de fitas pra mim deveria ser tradicao nos casamentos, nao tem nada mais lindo! Cada fita, um sonho, cada corte, um suspiro. No final da celebração, uma fita une o futuro a um coração, prometendo amor e novas histórias. É poesia! Um momento mágico e único onde risos e esperanças florescem juntos.",3,1,2024-06-26 16:20:41,True,https://www.instagram.com/p/C8r2s1runMi
Quando o amor e a felicidade se encontram ✨️ iluminam qualquer lugar!,3,7,2024-06-26 13:59:16,False,https://www.instagram.com/p/C8rnOuwuier
A love like this ✨️,3,1,2024-06-25 20:46:48,True,https://www.instagram.com/p/C8pweRRSiTr
"Impossível não sorrir e não se encantar com Maria.
Professora, guerreira, uma mãe exemplar, Olindense com muito orgulho! Se a vida é uma festa a dela é um eterno carnaval. A vida me presenteou com @dudazuppardo e de brinde me deu esse presente que foi esse dia com vocês.
É sempre bom poder registrar e contar a história de pessoas tão incríveis!",3,10,2024-06-21 21:03:38,False,https://www.instagram.com/p/C8ff0nayAFn
"Em casa foto, reside o poder de contar histórias, de preservar o passado pra que a gente possa revisitar no futuro.
Cada registro é uma promessa: de que nossas experiências não se perderão no curso do tempo, mas sim se transformarão em legados preciosos, para que a nossa história se perpetue, preservando nossas memórias pro amanhã.",3,5,2024-06-17 21:02:49,False,https://www.instagram.com/p/C8VMjEYyBlO
A espera pro grande momento de Gabi ✨️,3,5,2024-06-14 14:16:27,False,https://www.instagram.com/p/C8MvqKoOc6U
"Uma noiva belíssima dessas, é pra poucas ✨️🤌🏼
 @wellidalsr 

Vestido por @rafretaatelier
Maquiagem e cabelo por @admake.hair",3,3,2024-06-10 22:25:57,False,https://www.instagram.com/p/C8DUa4iO1gK
Lembranças do dia de Jeysi e Lucas 🤍✨️,3,1,2024-06-07 18:16:41,True,https://www.instagram.com/p/C77JB6luE1Z
Agora uma saudade: esse casamento 🥹🤌🏼✨️,3,1,2024-06-07 14:03:52,False,https://www.instagram.com/p/C76sp29ueMX
